Date,Mortgage Rate,Interest Rate
2019-08-01,4.08,2.0
2019-09-01,4.07,2.0
2019-10-01,4.09,2.0
2019-11-01,4.09,2.0
2019-12-01,4.08,2.0
2020-01-01,4.08,2.0
2020-02-01,4.08,2.0
2020-03-01,3.9,1.0
2020-04-01,3.95,0.5
2020-05-01,3.86,0.5
2020-06-01,3.77,0.5
2020-07-01,3.64,0.5
2020-08-01,3.57,0.5
2020-09-01,3.51,0.5
2020-10-01,3.45,0.5
2020-11-01,3.42,0.5
2020-12-01,3.34,0.5
2021-01-01,3.3,0.5
2021-02-01,3.25,0.5
2021-03-01,3.26,0.5
2021-04-01,3.25,0.5
2021-05-01,3.25,0.5
2021-06-01,3.26,0.5
2021-07-01,3.2,0.5
2021-08-01,3.2,0.5
2021-09-01,3.22,0.5
2021-10-01,3.29,0.5
2021-11-01,3.4,0.5
2021-12-01,3.45,0.5
2022-01-01,3.44,0.5
2022-02-01,3.58,0.5
2022-03-01,3.77,0.75
2022-04-01,4.19,1.25
2022-05-01,4.63,1.25
